time, ax, ay, az, gx, gy, gz, mx, my, mz;
     69036l,   -0.01416,    -0.00195,    +1.03027,   -0.00639,    -0.00106,    -0.01064,   -0.18105,  +4686.60059,   -35.44571
     69036l,   -0.02930,    -0.01660,    +1.02148,   -0.01171,    -0.01809,    -0.00745,  -20.09707,   -41.09941,   -37.19180
     69036l,   -0.02246,    -0.02051,    +1.05078,   -0.01171,    -0.01277,    -0.00639,  -20.09707,   -41.09941,   -37.19180
     69036l,   -0.01367,    -0.01611,    +0.99854,   -0.01277,    -0.00851,    -0.00745,  -20.09707,   -41.09941,   -37.19180
     69036l,   -0.01221,    -0.01172,    +1.03711,   -0.01809,    -0.01277,    -0.00958,  -20.09707,   -41.09941,   -37.19180
     69036l,   -0.01172,    -0.01465,    +1.01172,   -0.01490,    -0.00639,    -0.00532,  -21.00234,   -44.17735,   -36.66797
     69036l,   -0.02441,    -0.01123,    +1.02441,   -0.01596,    -0.01171,    -0.01171,  -21.00234,   -44.17735,   -36.66797
     69036l,   -0.02539,    -0.01807,    +1.01074,   -0.00745,    -0.01171,    -0.00639,  -21.00234,   -44.17735,   -36.66797
     69036l,   -0.01172,    -0.00635,    +1.02637,   -0.01277,    -0.01064,    -0.00958,  -21.00234,   -44.17735,   -36.66797
     69036l,   -0.02490,    -0.01904,    +0.99463,   -0.01171,    -0.01703,    -0.01277,  -21.00234,   -44.17735,   -36.66797
     69036l,   -0.01514,    -0.00439,    +1.03564,   -0.01064,    -0.01383,    -0.00532,  -21.00234,   -44.17735,   -36.66797
     69036l,   -0.02393,    -0.01807,    +1.00342,   -0.01277,    -0.01064,    -0.00851,  -21.00234,   -44.17735,   -36.66797
     69036l,   -0.01807,    -0.01855,    +1.04785,   -0.00958,    -0.00958,    -0.00745,  -21.00234,   -44.17735,   -36.66797
     69036l,   -0.01758,    -0.01025,    +1.01660,   -0.01064,    -0.00958,    -0.00745,  -21.00234,   -44.17735,   -36.66797
     69036l,   -0.01416,    -0.01465,    +1.01904,   -0.01703,    -0.01277,    -0.00958,  -21.00234,   -44.17735,   -36.66797
     69036l,   -0.02295,    -0.01123,    +1.01514,   -0.01383,    -0.00639,    -0.00532,  -21.00234,   -44.17735,   -36.66797
     69036l,   -0.01611,    -0.01514,    +1.02930,   -0.00851,    -0.01383,    -0.01064,  -21.00234,   -44.17735,   -36.66797
     69036l,   -0.01123,    -0.01514,    +1.02539,   -0.01383,    -0.01171,    -0.01277,  -22.08867,   -43.45313,   -36.66797
     69036l,   -0.01172,    -0.00635,    +1.04590,   -0.01383,    -0.00745,    -0.00745,  -22.08867,   -43.45313,   -36.66797
     69036l,   -0.01904,    -0.01416,    +1.01514,   -0.01064,    -0.01277,    -0.00851,  -22.08867,   -43.45313,   -36.66797
     69036l,   -0.01367,    -0.00098,    +1.04102,   -0.01277,    -0.00958,    -0.00639,  -22.08867,   -43.45313,   -36.66797
     69036l,   -0.02979,    -0.00977,    +1.03125,   -0.01277,    -0.00958,    -0.00745,  -22.08867,   -43.45313,   -36.66797
     69036l,   -0.02148,    -0.01025,    +1.02100,   -0.01277,    -0.01064,    -0.01171,  -22.08867,   -43.45313,   -36.66797
     69036l,   -0.02002,    -0.00684,    +1.00879,   -0.01490,    -0.01383,    -0.00745,  -22.08867,   -43.45313,   -36.66797
     69036l,   -0.02246,    -0.00195,    +1.02734,   -0.01383,    -0.00851,    -0.00639,  -22.08867,   -43.45313,   -36.66797
     69036l,   -0.01416,    -0.01709,    +1.01270,   -0.01490,    -0.00745,    -0.00745,  -22.08867,   -43.45313,   -36.66797
     69036l,   -0.01660,    -0.00635,    +1.04004,   -0.00958,    -0.00958,    -0.00851,  -22.08867,   -43.45313,   -36.66797
     69036l,   -0.02490,    -0.00879,    +1.04395,   -0.00958,    -0.01171,    -0.01277,  -22.08867,   -43.45313,   -36.66797
     69036l,   -0.02246,    -0.01123,    +1.02002,   -0.01490,    -0.01064,    -0.00851,  -21.72656,   -42.72891,   -34.92188
     69036l,   -0.02881,    -0.00732,    +1.02686,   -0.00958,    -0.01171,    -0.00958,  -21.72656,   -42.72891,   -34.92188
     69036l,   -0.01318,    -0.00635,    +1.02930,   -0.01171,    -0.01277,    -0.00851,  -21.72656,   -42.72891,   -34.92188
     69036l,   -0.01611,    -0.01562,    +1.00195,   -0.01277,    -0.01171,    -0.00745,  -21.72656,   -42.72891,   -34.92188
     69036l,   -0.01758,    -0.00684,    +1.01367,   -0.01490,    -0.00851,    -0.01490,  -21.72656,   -42.72891,   -34.92188
     69036l,   -0.01367,    -0.01562,    +1.01758,   -0.01277,    -0.01596,    -0.00745,  -21.72656,   -42.72891,   -34.92188
     69036l,   -0.02051,    -0.01123,    +1.00000,   -0.00958,    -0.01171,    -0.01064,  -21.72656,   -42.72891,   -34.92188
