time, ax, ay, az, gx, gy, gz, mx, my, mz
   675871918,   +0.00293,    -0.00878,    +0.99479,   +0.11484,    +0.07453,    -0.00122,  -15.66000,   -55.04200,    +0.52200
   675883204,   +0.00146,    -0.00732,    +0.99406,   +0.11240,    +0.07941,    +0.00000,  -15.54400,   -55.39000,    +0.69600
   675894492,   +0.00000,    -0.00659,    +1.00138,   +0.10996,    +0.07819,    +0.00122,  -15.25400,   -55.15800,    +0.87000
   675905746,   +0.00073,    -0.00366,    +0.99406,   +0.11851,    +0.07697,    +0.00244,  -15.19600,   -54.98400,    +0.75400
   675917001,   +0.00000,    -0.01098,    +0.98527,   +0.11362,    +0.08063,    +0.00122,  -16.06600,   -55.15800,    -0.58000
   675928254,   +0.00220,    -0.01903,    +1.00430,   +0.10873,    +0.08063,    -0.00122,  -15.42800,   -55.15800,    +0.23200
   675939505,   +0.00366,    -0.00512,    +0.99040,   +0.10629,    +0.07941,    -0.00611,  -15.42800,   -55.04200,    +0.23200
   675950758,   -0.00439,    -0.01318,    +0.99918,   +0.11606,    +0.07453,    +0.00489,  -15.66000,   -54.81000,    +0.23200
   675962010,   -0.00293,    -0.00659,    +0.99845,   +0.11606,    +0.07453,    +0.00122,  -15.37000,   -54.86800,    +0.81200
   675973262,   -0.00366,    -0.00952,    +0.98893,   +0.11240,    +0.07575,    -0.00244,  -15.42800,   -55.04200,    +0.69600
   675984505,   +0.00220,    -0.00732,    +0.98015,   +0.11118,    +0.07819,    +0.00000,  -15.66000,   -55.04200,    +1.45000
   675995754,   -0.00659,    -0.01171,    +0.99479,   +0.11240,    +0.07330,    +0.00122,  -15.77600,   -54.86800,    +0.75400
   676007004,   -0.00732,    -0.00732,    +0.99332,   +0.12095,    +0.07941,    -0.00122,  -15.13800,   -54.63600,    -0.00000
   676018249,   +0.00146,    -0.00805,    +0.99918,   +0.11851,    +0.07453,    +0.00244,  -15.60200,   -54.52000,    +0.98600
   676029498,   +0.00000,    -0.01464,    +0.99772,   +0.11240,    +0.07453,    +0.00489,  -15.60200,   -54.52000,    +0.98600
   676040745,   -0.00586,    -0.01537,    +0.98674,   +0.11240,    +0.07819,    +0.00244,  -15.71800,   -54.17200,    +0.34800
