time, ax, ay, az, gx, gy, gz, mx, my, mz
   487670636,   -0.01611,    -0.01465,    +1.02734,   -0.01277,    -0.00851,    -0.00958,  -30.77930,  +3463.21436,   -33.00117
   487681524,   -0.01416,    -0.01709,    +1.02686,   -0.01383,    -0.00532,    -0.00851,  -36.39199,   -60.29121,   -32.65195
   487692378,   -0.01074,    -0.02295,    +1.02441,   -0.01596,    -0.01064,    -0.00745,  -36.39199,   -60.29121,   -32.65195
   487703218,   -0.01123,    -0.01270,    +1.02539,   -0.01383,    -0.00851,    -0.00958,  -36.39199,   -60.29121,   -32.65195
   487714130,   -0.00977,    -0.01123,    +1.03613,   -0.01916,    -0.01064,    -0.01171,  -36.39199,   -60.29121,   -32.65195
   487724965,   -0.01465,    -0.00928,    +1.02588,   -0.01383,    -0.01171,    -0.01171,  -36.39199,   -60.29121,   -32.65195
   487735805,   -0.01123,    -0.00879,    +1.03564,   -0.01703,    -0.01596,    -0.01171,  -36.39199,   -60.29121,   -32.65195
   487746652,   -0.01465,    -0.01660,    +1.03223,   -0.01064,    -0.00851,    -0.01383,  -36.39199,   -60.29121,   -32.65195
   487757495,   -0.01562,    -0.01416,    +1.02832,   -0.01596,    -0.01171,    -0.00958,  -36.39199,   -60.29121,   -32.65195
   487768378,   -0.01025,    -0.01562,    +1.03027,   -0.01703,    -0.01171,    -0.00958,  -36.39199,   -60.29121,   -32.65195
   487779228,   -0.01611,    -0.01904,    +1.03223,   -0.01277,    -0.01171,    -0.01490,  -36.39199,   -60.29121,   -32.65195
   487790062,   -0.01904,    -0.00928,    +1.02295,   -0.01383,    -0.00639,    -0.01171,  -36.02988,   -61.01543,   -32.30273
   487800900,   -0.02246,    -0.02246,    +1.03271,   -0.01809,    -0.01064,    -0.01277,  -36.02988,   -61.01543,   -32.30273
   487811751,   -0.01416,    -0.01074,    +1.02539,   -0.01171,    -0.01171,    -0.01703,  -36.02988,   -61.01543,   -32.30273
   487822584,   -0.01611,    -0.01611,    +1.03320,   -0.01596,    -0.00426,    -0.01064,  -36.02988,   -61.01543,   -32.30273
   487833427,   -0.01221,    -0.01172,    +1.00928,   -0.01277,    -0.01490,    -0.00958,  -36.02988,   -61.01543,   -32.30273
   487844290,   -0.02197,    -0.01123,    +1.02637,   -0.00958,    -0.01596,    -0.00745,  -36.02988,   -61.01543,   -32.30273
   487855122,   -0.01562,    -0.01758,    +1.00635,   -0.01064,    -0.01171,    -0.00958,  -36.02988,   -61.01543,   -32.30273
   487865974,   -0.01025,    -0.01514,    +1.03027,   -0.01703,    -0.00745,    -0.01171,  -36.02988,   -61.01543,   -32.30273
   487876806,   -0.00928,    -0.02344,    +1.01855,   -0.01703,    -0.01277,    -0.00745,  -36.02988,   -61.01543,   -32.30273
   487887703,   -0.00830,    -0.01514,    +1.03223,   -0.01703,    -0.00958,    -0.01277,  -36.02988,   -61.01543,   -32.30273
   487898568,   -0.02344,    -0.01465,    +1.02832,   -0.01703,    -0.01064,    -0.01064,  -36.02988,   -61.01543,   -32.30273
   487909403,   -0.02246,    -0.00342,    +1.03564,   -0.01809,    -0.01383,    -0.01171,  -36.02988,   -61.01543,   -32.30273
   487920257,   -0.01221,    -0.02148,    +1.02539,   -0.01383,    -0.01383,    -0.01171,  -36.02988,   -61.01543,   -32.30273
   487931090,   -0.01465,    -0.01025,    +1.02930,   -0.01171,    -0.00958,    -0.01490,  -36.02988,   -61.01543,   -32.30273
   487941923,   -0.02100,    -0.01318,    +1.02539,   -0.01809,    -0.00851,    -0.01171,  -36.02988,   -61.01543,   -32.30273
   487952761,   -0.00977,    -0.01611,    +1.02490,   -0.01064,    -0.00851,    -0.01490,  -36.02988,   -61.01543,   -32.30273
   487963610,   -0.00586,    -0.00781,    +1.03955,   -0.01064,    -0.00851,    -0.01277,  -36.02988,   -61.01543,   -32.30273
   487974494,   -0.01855,    -0.00781,    +1.03760,   -0.01490,    -0.01064,    -0.01277,  -36.02988,   -61.01543,   -32.30273
   487985338,   -0.02148,    -0.00928,    +1.02002,   -0.01383,    -0.01277,    -0.01171,  -36.02988,   -61.01543,   -32.30273
   487996178,   -0.01465,    -0.01465,    +1.02002,   -0.01277,    -0.00639,    -0.01064,  -36.02988,   -61.01543,   -32.30273
   488007072,   -0.01855,    -0.01611,    +1.02490,   -0.01809,    -0.00958,    -0.01383,  -36.02988,   -61.01543,   -32.30273
   488018038,   -0.01855,    -0.01709,    +1.03662,   -0.01171,    -0.01383,    -0.01490,  -36.02988,   -61.01543,   -32.30273
   488028884,   -0.01074,    -0.01611,    +1.03613,   -0.00958,    -0.01277,    -0.01171,  -36.02988,   -61.01543,   -32.30273
   488039755,   -0.01562,    -0.01270,    +1.02051,   -0.01490,    -0.00532,    -0.01064,  -37.11621,   -62.10176,   -32.65195
   488050593,   -0.02051,    -0.01318,    +1.03174,   -0.01277,    -0.01064,    -0.01277,  -37.11621,   -62.10176,   -32.65195
   488061483,   -0.02588,    -0.02002,    +1.02588,   -0.00958,    -0.00958,    -0.00851,  -37.11621,   -62.10176,   -32.65195
   488072321,   -0.01172,    -0.01416,    +1.01416,   -0.01596,    -0.01064,    -0.00958,  -37.11621,   -62.10176,   -32.65195
   488083177,   -0.01221,    -0.00928,    +1.02100,   -0.01171,    -0.00745,    -0.01064,  -37.11621,   -62.10176,   -32.65195
   488094066,   -0.01807,    -0.02490,    +1.01660,   -0.01490,    -0.00745,    -0.01277,  -37.11621,   -62.10176,   -32.65195
   488104975,   -0.01904,    -0.00879,    +1.02246,   -0.01383,    -0.00958,    -0.01171,  -37.11621,   -62.10176,   -32.65195
   488115903,   -0.02148,    -0.01416,    +1.03174,   -0.01277,    -0.00851,    -0.00958,  -37.11621,   -62.10176,   -32.65195
   488126889,   -0.02246,    -0.01611,    +1.03125,   -0.01171,    -0.01277,    -0.01596,  -37.11621,   -62.10176,   -32.65195
   488137796,   -0.01416,    -0.02295,    +1.02441,   -0.01064,    -0.00213,    -0.01171,  -37.11621,   -62.10176,   -32.65195
   488148727,   -0.01611,    -0.01270,    +1.01904,   -0.01596,    -0.00958,    -0.01171,  -37.11621,   -62.10176,   -32.65195
   488159657,   -0.01562,    -0.00342,    +1.03711,   -0.01383,    -0.01064,    -0.01171,  -37.11621,   -62.10176,   -32.65195
   488170563,   -0.01465,    -0.01318,    +1.02686,   -0.01383,    -0.01596,    -0.01064,  -37.11621,   -62.10176,   -32.65195
   488181512,   -0.00879,    -0.01416,    +1.01611,   -0.01490,    -0.01383,    -0.00958,  -37.11621,   -62.10176,   -32.65195
   488192447,   -0.01709,    -0.00928,    +1.02441,   -0.01596,    -0.01277,    -0.00958,  -37.11621,   -62.10176,   -32.65195
   488203371,   -0.02246,    -0.01465,    +1.03613,   -0.01171,    -0.01490,    -0.00851,  -37.11621,   -62.10176,   -32.65195
   488214353,   -0.01904,    -0.01172,    +1.01514,   -0.01703,    -0.01171,    -0.01383,  -37.11621,   -62.10176,   -32.65195
   488225261,   -0.00928,    -0.01562,    +1.02100,   -0.01383,    -0.01064,    -0.01383,  -37.11621,   -62.10176,   -32.65195
   488236196,   -0.01562,    -0.01123,    +1.02295,   -0.01277,    -0.01277,    -0.00745,  -37.11621,   -62.10176,   -32.65195
   488247117,   -0.01660,    -0.01514,    +1.03271,   -0.01703,    -0.00745,    -0.00958,  -37.11621,   -62.10176,   -32.65195
   488258047,   -0.01758,    -0.00684,    +1.02783,   -0.01171,    -0.00958,    -0.01383,  -37.11621,   -62.10176,   -32.65195
   488269035,   -0.01660,    -0.02441,    +1.01855,   -0.01277,    -0.00639,    -0.01277,  -37.11621,   -62.10176,   -32.65195
   488279941,   -0.01660,    -0.00586,    +1.03564,   -0.01171,    -0.00745,    -0.00745,  -37.11621,   -62.10176,   -32.65195
   488290855,   -0.02100,    -0.01221,    +1.03223,   -0.01277,    -0.01277,    -0.00851,  -36.75410,   -59.56699,   -31.95352
   488301816,   -0.02002,    -0.01025,    +1.02490,   -0.01703,    -0.00958,    -0.01064,  -36.75410,   -59.56699,   -31.95352
   488312725,   -0.00732,    -0.02100,    +1.03320,   -0.01277,    -0.01064,    -0.01277,  -36.75410,   -59.56699,   -31.95352
   488323697,   -0.01074,    -0.01123,    +1.01611,   -0.01383,    -0.00851,    -0.01277,  -36.75410,   -59.56699,   -31.95352
   488334691,   -0.01318,    -0.00879,    +1.02051,   -0.01064,    -0.01277,    -0.01171,  -36.75410,   -59.56699,   -31.95352
   488345628,   -0.01318,    -0.00586,    +1.03271,   -0.01490,    -0.01064,    -0.01064,  -36.75410,   -59.56699,   -31.95352
   488356601,   -0.00391,    -0.01221,    +1.02051,   -0.01171,    -0.00958,    -0.00958,  -36.75410,   -59.56699,   -31.95352
   488367592,   -0.01416,    -0.01270,    +1.02588,   -0.01703,    -0.00958,    -0.00639,  -36.75410,   -59.56699,   -31.95352
   488378587,   -0.01855,    -0.02148,    +1.01709,   -0.01383,    -0.01383,    -0.01490,  -36.75410,   -59.56699,   -31.95352
   488389561,   -0.02344,    -0.01074,    +1.01514,   -0.01916,    -0.01383,    -0.01064,  -36.75410,   -59.56699,   -31.95352
   488400470,   -0.01172,    -0.01855,    +1.01318,   -0.01490,    -0.01383,    -0.00745,  -36.75410,   -59.56699,   -31.95352
   488411377,   -0.01416,    -0.01709,    +1.03320,   -0.01596,    -0.00851,    -0.00958,  -36.75410,   -59.56699,   -31.95352
   488422346,   -0.01025,    -0.00781,    +1.03760,   -0.01383,    -0.00745,    -0.01064,  -36.75410,   -59.56699,   -31.95352
   488433253,   -0.01172,    -0.01660,    +1.02148,   -0.01383,    -0.01064,    -0.01171,  -36.75410,   -59.56699,   -31.95352
   488444232,   -0.02100,    -0.02002,    +1.03369,   -0.02022,    -0.00851,    -0.00958,  -36.75410,   -59.56699,   -31.95352
   488455136,   -0.02295,    -0.01465,    +1.03564,   -0.01277,    -0.01064,    -0.01596,  -36.75410,   -59.56699,   -31.95352
   488466099,   -0.01318,    -0.00586,    +1.03125,   -0.01596,    -0.00851,    -0.01277,  -36.75410,   -59.56699,   -31.95352
   488477068,   -0.01709,    -0.02051,    +1.02588,   -0.01490,    -0.00851,    -0.01064,  -36.75410,   -59.56699,   -31.95352
   488487975,   -0.01074,    -0.01611,    +1.01074,   -0.00958,    -0.01171,    -0.01064,  -36.75410,   -59.56699,   -31.95352
   488498954,   -0.01904,    -0.00537,    +1.01514,   -0.01383,    -0.01064,    -0.00851,  -36.75410,   -59.56699,   -31.95352
   488509920,   -0.01318,    -0.00488,    +1.02930,   -0.01596,    -0.00958,    -0.01064,  -36.75410,   -59.56699,   -31.95352
   488520852,   -0.01855,    -0.01514,    +1.01514,   -0.01490,    -0.00851,    -0.01277,  -36.75410,   -59.56699,   -31.95352
   488531851,   -0.01221,    -0.01709,    +1.02051,   -0.01277,    -0.00532,    -0.01064,  -36.75410,   -62.46387,   -33.69961
   488542760,   -0.02246,    -0.02344,    +1.02197,   -0.01171,    -0.01383,    -0.01171,  -36.75410,   -62.46387,   -33.69961
   488553680,   -0.01172,    -0.01562,    +1.04297,   -0.01383,    -0.00745,    -0.01383,  -36.75410,   -62.46387,   -33.69961
   488564669,   -0.01562,    -0.00928,    +1.02002,   -0.01703,    -0.01064,    -0.01171,  -36.75410,   -62.46387,   -33.69961
   488575592,   -0.02002,    -0.00977,    +1.02246,   -0.01277,    -0.00958,    -0.01171,  -36.75410,   -62.46387,   -33.69961
   488586562,   -0.00977,    -0.01855,    +1.03271,   -0.01277,    -0.00639,    -0.01277,  -36.75410,   -62.46387,   -33.69961
   488597510,   -0.02002,    -0.00488,    +1.03320,   -0.00958,    -0.01277,    -0.01064,  -36.75410,   -62.46387,   -33.69961
   488608417,   -0.02148,    -0.01123,    +1.03711,   -0.01277,    -0.00745,    -0.01064,  -36.75410,   -62.46387,   -33.69961
   488619382,   -0.01367,    -0.01123,    +1.04150,   -0.01383,    -0.00851,    -0.01064,  -36.75410,   -62.46387,   -33.69961
   488630342,   -0.01660,    -0.01855,    +1.04150,   -0.01064,    -0.00851,    -0.01064,  -36.75410,   -62.46387,   -33.69961
   488641258,   -0.01416,    -0.01025,    +1.02832,   -0.01277,    -0.01277,    -0.01171,  -36.75410,   -62.46387,   -33.69961
   488652228,   -0.01709,    -0.01611,    +1.00635,   -0.01064,    -0.01171,    -0.01277,  -36.75410,   -62.46387,   -33.69961
   488663150,   -0.01660,    -0.02344,    +1.03467,   -0.01383,    -0.01064,    -0.00958,  -36.75410,   -62.46387,   -33.69961
   488674124,   -0.01807,    -0.00635,    +1.01660,   -0.01490,    -0.01064,    -0.01064,  -36.75410,   -62.46387,   -33.69961
   488685041,   -0.01416,    -0.00635,    +1.02637,   -0.01490,    -0.00958,    -0.00639,  -36.75410,   -62.46387,   -33.69961
