time, ax, ay, az, gx, gy, gz, mx, my, mz
  3139889829,   -0.00805,    -0.00512,    +0.99552,   +0.11240,    +0.07330,    +0.00122,   +8.99000,    -4.93000,   +29.40600
  3139901118,   -0.00952,    -0.00805,    +0.99332,   +0.11240,    +0.07819,    +0.00000,   +9.28000,    -5.27800,   +28.76800
  3139912404,   +0.00000,    -0.00293,    +0.99186,   +0.11729,    +0.07086,    +0.00367,   +9.22200,    -5.56800,   +29.34800
  3139923587,   -0.00293,    -0.00878,    +0.99625,   +0.10873,    +0.07697,    +0.00244,   +9.10600,    -5.16200,   +28.42000
  3139934813,   -0.01318,    -0.01244,    +0.99040,   +0.11118,    +0.07819,    +0.00611,   +9.04800,    -5.27800,   +29.58000
  3139945996,   -0.00805,    -0.01098,    +0.99406,   +0.11240,    +0.07330,    -0.00122,   +8.75800,    -5.10400,   +29.81200
  3139957221,   -0.00220,    -0.01025,    +0.99332,   +0.11606,    +0.07941,    +0.00122,   +9.51200,    -4.52400,   +29.40600
  3139968418,   -0.00586,    -0.00732,    +0.98893,   +0.11240,    +0.07330,    +0.00122,   +9.51200,    -4.52400,   +29.40600
  3139979648,   -0.00293,    -0.01025,    +0.98893,   +0.10751,    +0.07819,    +0.00489,   +9.62800,    -4.93000,   +28.65200
  3139990843,   -0.00659,    -0.00952,    +0.99406,   +0.11118,    +0.07697,    +0.00244,   +9.33800,    -4.69800,   +28.53600
  3140002090,   -0.00878,    -0.00220,    +0.99186,   +0.10873,    +0.07453,    +0.00000,   +9.28000,    -4.69800,   +29.81200
  3140013300,   -0.00293,    -0.00586,    +1.00064,   +0.11851,    +0.07208,    +0.00122,   +9.57000,    -4.87200,   +28.71000
  3140024562,   -0.00805,    -0.00512,    +0.98454,   +0.10996,    +0.07575,    +0.00367,   +9.04800,    -4.93000,   +28.42000
  3140035764,   +0.00220,    -0.00805,    +0.99772,   +0.11118,    +0.07697,    +0.00000,   +9.33800,    -5.27800,   +29.58000
  3140047029,   -0.00805,    -0.00366,    +1.00064,   +0.11118,    +0.07330,    +0.00244,  +10.03400,    -5.27800,   +28.53600
  3140058236,   -0.00586,    -0.00659,    +0.99040,   +0.11240,    +0.07819,    +0.00122,  +10.03400,    -4.87200,   +28.53600
  3140069550,   -0.00586,    -0.01318,    +0.98600,   +0.10873,    +0.07086,    +0.00000,   +9.28000,    -4.81400,   +29.46400
  3140080745,   -0.00878,    -0.00586,    +0.99625,   +0.10996,    +0.07453,    +0.00489,   +9.57000,    -4.75600,   +28.88400
  3140092014,   +0.00220,    -0.00439,    +0.99332,   +0.10996,    +0.07697,    +0.00489,   +9.16400,    -5.22000,   +29.52200
  3140103228,   -0.00439,    -0.00366,    +0.99332,   +0.11973,    +0.07697,    +0.00611,   +9.04800,    -5.10400,   +29.34800
